2019-10-17,09:55:57,0,Rebo,1571298958576,Will you like to discuss more on system unit?,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2019-10-17,09:56:09,0,Rebo,1571298970408,Will you like to discuss more on system unit?,TUTOR
2019-10-17,09:58:09,0,Rebo,1571299090481,I am waiting for your response to start. Please ask for help if you are stuck.,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2019-10-17,10:01:02,0,Rebo,1571299263768,Will you like to discuss more on system unit?,TUTOR
2019-10-17,10:03:02,0,Rebo,1571299383844,I am waiting for your response to start. Please ask for help if you are stuck.,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2019-10-17,10:07:07,0,Rebo,1571299628401,Rebo Start?,TUTOR
2019-10-17,10:07:15,0,Pat,1571299635302,ja,AFFIRMATIVE
2019-10-17,10:07:15,0,Rebo,1571299636420,Let's get started.,TUTOR
2019-10-17,10:07:15,0,Rebo,1571299638423,Hi,TUTOR
2019-10-17,10:07:15,0,Rebo,1571299638424,Wie zufrieden bist du mit deinem Ergebniss?,TUTOR
2019-10-17,10:07:47,0,Pat,1571299669364,ich bin sehr zufrieden mit meinem ergebniss. War eine ziemlich gemütliche aufgabe,
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2019-10-17,10:08:47,0,Rebo,1571299728814,Rebo Start?,TUTOR
2019-10-17,10:08:51,0,Pat,1571299732001,jap,AFFIRMATIVE
2019-10-17,10:08:52,0,Rebo,1571299732837,Let's get started.,TUTOR
2019-10-17,10:08:52,0,Rebo,1571299734840,Hey,TUTOR
2019-10-17,10:08:52,0,Rebo,1571299734841,Wie ist es dir bei dieser Aufgabe gegangen? Alles gut gelaufen?,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2019-10-17,10:11:10,0,Rebo,1571299872556,Rebo Start?,TUTOR
2019-10-17,10:11:17,0,Pat,1571299879740,jaalles gut gelaufen. War eine ziemlich gemütliche Aufgabe die wir zu erledigen hattten.,AFFIRMATIVE+POSITIVE
2019-10-17,10:11:19,0,Rebo,1571299880578,Let's get started.,TUTOR
2019-10-17,10:11:19,0,Rebo,1571299882581,Hallo,TUTOR
2019-10-17,10:11:19,0,Rebo,1571299882582,Experience Test 3.Phrase,TUTOR
2019-10-17,10:11:24,0,Pat,1571299885191,alles gut gelaufen. War eine ziemlich gemütliche Aufgabe die wir zu erledigen hattten.,POSITIVE
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2019-10-17,10:12:43,0,Rebo,1571299965350,Rebo Start?,TUTOR
